Year,Month,City_Region,Province,NewHousePrice_Index_Type,UOM,VALUE,STATUS,DECIMALS
1981,1,Toronto, Ontario,Total (house and land),"Index, 201612=100",28,,1
1981,2,Toronto, Ontario,Total (house and land),"Index, 201612=100",28.5,,1
1981,3,Toronto, Ontario,Total (house and land),"Index, 201612=100",29.8,,1
1981,4,Toronto, Ontario,Total (house and land),"Index, 201612=100",31.2,,1
1981,5,Toronto, Ontario,Total (house and land),"Index, 201612=100",32.3,,1
1981,6,Toronto, Ontario,Total (house and land),"Index, 201612=100",32.3,,1
1981,7,Toronto, Ontario,Total (house and land),"Index, 201612=100",32.2,,1
1981,8,Toronto, Ontario,Total (house and land),"Index, 201612=100",32.5,,1
1981,9,Toronto, Ontario,Total (house and land),"Index, 201612=100",32.6,,1
1981,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",32.5,,1
1981,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",32.5,,1
1981,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",32.5,,1
1982,1,Toronto, Ontario,Total (house and land),"Index, 201612=100",32.7,,1
1982,2,Toronto, Ontario,Total (house and land),"Index, 201612=100",32.4,,1
1982,3,Toronto, Ontario,Total (house and land),"Index, 201612=100",32.4,,1
1982,4,Toronto, Ontario,Total (house and land),"Index, 201612=100",32.4,,1
1982,5,Toronto, Ontario,Total (house and land),"Index, 201612=100",32.3,,1
1982,6,Toronto, Ontario,Total (house and land),"Index, 201612=100",32.1,,1
1982,7,Toronto, Ontario,Total (house and land),"Index, 201612=100",32.1,,1
1982,8,Toronto, Ontario,Total (house and land),"Index, 201612=100",31.6,,1
1982,9,Toronto, Ontario,Total (house and land),"Index, 201612=100",31.5,,1
1982,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",31.1,,1
1982,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",30.9,,1
1982,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",30.7,,1
1983,1,Toronto, Ontario,Total (house and land),"Index, 201612=100",30.7,,1
