,Year,Month,City_Region,Province,NewHousePrice_Index_Type,UOM,VALUE,STATUS,DECIMALS
0,1981,01,Canada,,Total (house and land),"Index, 201612=100",38.2,,1
9,1981,01,St. John's, Newfoundland and Labrador,Total (house and land),"Index, 201612=100",36.1,,1
27,1981,01,Saint John, Fredericton,Total (house and land),"Index, 201612=100",55.9,,1
33,1981,01,Québec, Quebec,Total (house and land),"Index, 201612=100",30.1,,1
42,1981,01,Montréal, Quebec,Total (house and land),"Index, 201612=100",28.5,,1
51,1981,01,Ottawa-Gatineau, Ontario part,Total (house and land),"Index, 201612=100",32.6,,1
57,1981,01,Toronto, Ontario,Total (house and land),"Index, 201612=100",28.0,,1
60,1981,01,Hamilton, Ontario,Total (house and land),"Index, 201612=100",30.3,,1
63,1981,01,St. Catharines-Niagara, Ontario,Total (house and land),"Index, 201612=100",30.6,,1
66,1981,01,Kitchener-Cambridge-Waterloo, Ontario,Total (house and land),"Index, 201612=100",34.0,,1
72,1981,01,London, Ontario,Total (house and land),"Index, 201612=100",31.8,,1
75,1981,01,Windsor, Ontario,Total (house and land),"Index, 201612=100",61.2,,1
78,1981,01,Greater Sudbury, Ontario,Total (house and land),"Index, 201612=100",54.7,,1
87,1981,01,Winnipeg, Manitoba,Total (house and land),"Index, 201612=100",26.6,,1
93,1981,01,Regina, Saskatchewan,Total (house and land),"Index, 201612=100",19.8,,1
96,1981,01,Saskatoon, Saskatchewan,Total (house and land),"Index, 201612=100",33.0,,1
102,1981,01,Calgary, Alberta,Total (house and land),"Index, 201612=100",25.3,,1
105,1981,01,Edmonton, Alberta,Total (house and land),"Index, 201612=100",35.8,,1
114,1981,01,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",90.5,,1
117,1981,01,Victoria, British Columbia,Total (house and land),"Index, 201612=100",128.7,,1
120,1981,02,Canada,,Total (house and land),"Index, 201612=100",38.7,,1
129,1981,02,St. John's, Newfoundland and Labrador,Total (house and land),"Index, 201612=100",36.2,,1
147,1981,02,Saint John, Fredericton,Total (house and land),"Index, 201612=100",56.2,,1
153,1981,02,Québec, Quebec,Total (house and land),"Index, 201612=100",30.6,,1
162,1981,02,Montréal, Quebec,Total (house and land),"Index, 201612=100",28.8,,1
171,1981,02,Ottawa-Gatineau, Ontario part,Total (house and land),"Index, 201612=100",32.6,,1
177,1981,02,Toronto, Ontario,Total (house and land),"Index, 201612=100",28.5,,1
180,1981,02,Hamilton, Ontario,Total (house and land),"Index, 201612=100",30.4,,1
183,1981,02,St. Catharines-Niagara, Ontario,Total (house and land),"Index, 201612=100",30.8,,1
186,1981,02,Kitchener-Cambridge-Waterloo, Ontario,Total (house and land),"Index, 201612=100",34.1,,1
192,1981,02,London, Ontario,Total (house and land),"Index, 201612=100",32.3,,1
195,1981,02,Windsor, Ontario,Total (house and land),"Index, 201612=100",61.2,,1
198,1981,02,Greater Sudbury, Ontario,Total (house and land),"Index, 201612=100",55.4,,1
207,1981,02,Winnipeg, Manitoba,Total (house and land),"Index, 201612=100",26.9,,1
213,1981,02,Regina, Saskatchewan,Total (house and land),"Index, 201612=100",20.2,,1
216,1981,02,Saskatoon, Saskatchewan,Total (house and land),"Index, 201612=100",33.0,,1
222,1981,02,Calgary, Alberta,Total (house and land),"Index, 201612=100",25.5,,1
225,1981,02,Edmonton, Alberta,Total (house and land),"Index, 201612=100",36.1,,1
234,1981,02,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",92.2,,1
237,1981,02,Victoria, British Columbia,Total (house and land),"Index, 201612=100",130.1,,1
240,1981,03,Canada,,Total (house and land),"Index, 201612=100",39.3,,1
249,1981,03,St. John's, Newfoundland and Labrador,Total (house and land),"Index, 201612=100",36.2,,1
267,1981,03,Saint John, Fredericton,Total (house and land),"Index, 201612=100",56.2,,1
273,1981,03,Québec, Quebec,Total (house and land),"Index, 201612=100",30.6,,1
282,1981,03,Montréal, Quebec,Total (house and land),"Index, 201612=100",29.0,,1
291,1981,03,Ottawa-Gatineau, Ontario part,Total (house and land),"Index, 201612=100",33.6,,1
297,1981,03,Toronto, Ontario,Total (house and land),"Index, 201612=100",29.8,,1
300,1981,03,Hamilton, Ontario,Total (house and land),"Index, 201612=100",30.7,,1
303,1981,03,St. Catharines-Niagara, Ontario,Total (house and land),"Index, 201612=100",30.8,,1
306,1981,03,Kitchener-Cambridge-Waterloo, Ontario,Total (house and land),"Index, 201612=100",34.2,,1
312,1981,03,London, Ontario,Total (house and land),"Index, 201612=100",32.8,,1
315,1981,03,Windsor, Ontario,Total (house and land),"Index, 201612=100",60.7,,1
318,1981,03,Greater Sudbury, Ontario,Total (house and land),"Index, 201612=100",55.4,,1
327,1981,03,Winnipeg, Manitoba,Total (house and land),"Index, 201612=100",27.3,,1
333,1981,03,Regina, Saskatchewan,Total (house and land),"Index, 201612=100",20.6,,1
336,1981,03,Saskatoon, Saskatchewan,Total (house and land),"Index, 201612=100",33.4,,1
342,1981,03,Calgary, Alberta,Total (house and land),"Index, 201612=100",25.8,,1
345,1981,03,Edmonton, Alberta,Total (house and land),"Index, 201612=100",36.1,,1
354,1981,03,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",92.2,,1
357,1981,03,Victoria, British Columbia,Total (house and land),"Index, 201612=100",130.8,,1
360,1981,04,Canada,,Total (house and land),"Index, 201612=100",39.9,,1
369,1981,04,St. John's, Newfoundland and Labrador,Total (house and land),"Index, 201612=100",36.2,,1
387,1981,04,Saint John, Fredericton,Total (house and land),"Index, 201612=100",56.2,,1
393,1981,04,Québec, Quebec,Total (house and land),"Index, 201612=100",31.0,,1
402,1981,04,Montréal, Quebec,Total (house and land),"Index, 201612=100",29.3,,1
411,1981,04,Ottawa-Gatineau, Ontario part,Total (house and land),"Index, 201612=100",33.7,,1
417,1981,04,Toronto, Ontario,Total (house and land),"Index, 201612=100",31.2,,1
420,1981,04,Hamilton, Ontario,Total (house and land),"Index, 201612=100",31.0,,1
423,1981,04,St. Catharines-Niagara, Ontario,Total (house and land),"Index, 201612=100",30.8,,1
426,1981,04,Kitchener-Cambridge-Waterloo, Ontario,Total (house and land),"Index, 201612=100",34.6,,1
432,1981,04,London, Ontario,Total (house and land),"Index, 201612=100",33.3,,1
435,1981,04,Windsor, Ontario,Total (house and land),"Index, 201612=100",60.6,,1
438,1981,04,Greater Sudbury, Ontario,Total (house and land),"Index, 201612=100",56.9,,1
447,1981,04,Winnipeg, Manitoba,Total (house and land),"Index, 201612=100",27.4,,1
453,1981,04,Regina, Saskatchewan,Total (house and land),"Index, 201612=100",21.3,,1
456,1981,04,Saskatoon, Saskatchewan,Total (house and land),"Index, 201612=100",34.6,,1
462,1981,04,Calgary, Alberta,Total (house and land),"Index, 201612=100",26.7,,1
465,1981,04,Edmonton, Alberta,Total (house and land),"Index, 201612=100",36.1,,1
474,1981,04,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",91.8,,1
477,1981,04,Victoria, British Columbia,Total (house and land),"Index, 201612=100",130.8,,1
480,1981,05,Canada,,Total (house and land),"Index, 201612=100",40.6,,1
489,1981,05,St. John's, Newfoundland and Labrador,Total (house and land),"Index, 201612=100",36.4,,1
507,1981,05,Saint John, Fredericton,Total (house and land),"Index, 201612=100",57.2,,1
513,1981,05,Québec, Quebec,Total (house and land),"Index, 201612=100",31.4,,1
522,1981,05,Montréal, Quebec,Total (house and land),"Index, 201612=100",29.7,,1
531,1981,05,Ottawa-Gatineau, Ontario part,Total (house and land),"Index, 201612=100",34.3,,1
537,1981,05,Toronto, Ontario,Total (house and land),"Index, 201612=100",32.3,,1
540,1981,05,Hamilton, Ontario,Total (house and land),"Index, 201612=100",32.6,,1
543,1981,05,St. Catharines-Niagara, Ontario,Total (house and land),"Index, 201612=100",31.0,,1
546,1981,05,Kitchener-Cambridge-Waterloo, Ontario,Total (house and land),"Index, 201612=100",34.6,,1
552,1981,05,London, Ontario,Total (house and land),"Index, 201612=100",33.3,,1
555,1981,05,Windsor, Ontario,Total (house and land),"Index, 201612=100",60.6,,1
558,1981,05,Greater Sudbury, Ontario,Total (house and land),"Index, 201612=100",56.9,,1
567,1981,05,Winnipeg, Manitoba,Total (house and land),"Index, 201612=100",27.9,,1
573,1981,05,Regina, Saskatchewan,Total (house and land),"Index, 201612=100",21.9,,1
576,1981,05,Saskatoon, Saskatchewan,Total (house and land),"Index, 201612=100",34.8,,1
582,1981,05,Calgary, Alberta,Total (house and land),"Index, 201612=100",26.7,,1
585,1981,05,Edmonton, Alberta,Total (house and land),"Index, 201612=100",37.3,,1
594,1981,05,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",91.8,,1
597,1981,05,Victoria, British Columbia,Total (house and land),"Index, 201612=100",132.5,,1
600,1981,06,Canada,,Total (house and land),"Index, 201612=100",40.8,,1
609,1981,06,St. John's, Newfoundland and Labrador,Total (house and land),"Index, 201612=100",36.4,,1
627,1981,06,Saint John, Fredericton,Total (house and land),"Index, 201612=100",57.2,,1
633,1981,06,Québec, Quebec,Total (house and land),"Index, 201612=100",31.4,,1
642,1981,06,Montréal, Quebec,Total (house and land),"Index, 201612=100",30.0,,1
651,1981,06,Ottawa-Gatineau, Ontario part,Total (house and land),"Index, 201612=100",34.8,,1
657,1981,06,Toronto, Ontario,Total (house and land),"Index, 201612=100",32.3,,1
660,1981,06,Hamilton, Ontario,Total (house and land),"Index, 201612=100",32.7,,1
663,1981,06,St. Catharines-Niagara, Ontario,Total (house and land),"Index, 201612=100",31.2,,1
666,1981,06,Kitchener-Cambridge-Waterloo, Ontario,Total (house and land),"Index, 201612=100",34.9,,1
672,1981,06,London, Ontario,Total (house and land),"Index, 201612=100",33.6,,1
675,1981,06,Windsor, Ontario,Total (house and land),"Index, 201612=100",60.6,,1
678,1981,06,Greater Sudbury, Ontario,Total (house and land),"Index, 201612=100",57.1,,1
687,1981,06,Winnipeg, Manitoba,Total (house and land),"Index, 201612=100",28.4,,1
693,1981,06,Regina, Saskatchewan,Total (house and land),"Index, 201612=100",21.9,,1
696,1981,06,Saskatoon, Saskatchewan,Total (house and land),"Index, 201612=100",35.0,,1
702,1981,06,Calgary, Alberta,Total (house and land),"Index, 201612=100",27.1,,1
705,1981,06,Edmonton, Alberta,Total (house and land),"Index, 201612=100",37.4,,1
714,1981,06,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",91.9,,1
